ID,Nombre,Edad,Género,Ciudad,Comentario,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural
36,Pedro,53.0,Otro,Bogotá,las basuras no se recogen a tiempo.,Educación,No urgente,2023-09-12,1,1,0
37,Carlos,18.0,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-09-23,0,0,0
38,Juan,61.0,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2024-05-04,0,0,1
39,Sofía,33.0,F,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-10-20,0,1,0
40,Valentina,18.0,M,Manizales,falta agua potable en varias casas.,Educación,No urgente,2023-08-10,0,0,0
41,Valentina,,F,Santa Marta,queremos más presencia policial.,Medio Ambiente,Urgente,2024-06-16,0,1,1
42,Ana,19.0,Otro,Cúcuta,las calles están muy oscuras y peligrosas.,Salud,No urgente,2024-08-26,0,0,1
43,María,50.0,Otro,Cali,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-09-13,1,0,0
44,Laura,60.0,,Medellín,las basuras no se recogen a tiempo.,Educación,No urgente,2023-03-22,0,0,1
45,Carlos,29.0,F,Pereira,queremos más presencia policial.,Educación,No urgente,2023-10-31,0,0,0
46,Jorge,59.0,Otro,Bucaramanga,hay problemas con la recolección de basura.,Educación,No urgente,2023-07-28,1,0,0
47,Camilo,19.0,M,Bogotá,queremos más presencia policial.,Medio Ambiente,No urgente,2023-08-27,0,0,0
48,Pedro,48.0,Otro,Manizales,faltan médicos en el centro de salud.,Salud,No urgente,2024-07-13,1,1,1
49,Laura,32.0,M,Cúcuta,las basuras no se recogen a tiempo.,Salud,Urgente,2024-04-26,0,0,0
50,Juan,48.0,Otro,Medellín,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2024-08-02,1,1,1
51,Ana,66.0,M,Bogotá,las calles están muy oscuras y peligrosas.,Salud,No urgente,2023-02-22,1,1,1
52,Jorge,24.0,Otro,Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2023-02-09,0,1,1
53,Pedro,53.0,M,Cartagena,la contaminación del río está aumentando.,Seguridad,Urgente,2024-10-07,1,1,0
54,María,59.0,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-04-22,0,1,0
55,Sofía,42.0,F,Bogotá,necesitamos más acceso a internet en la zona.,Salud,Urgente,2024-08-12,1,0,0
56,Camilo,58.0,M,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,2024-06-12,1,1,0
57,Jorge,53.0,F,Pereira,necesitamos más acceso a internet en la zona.,Salud,Urgente,2023-12-03,1,1,0
58,Valentina,31.0,M,Bucaramanga,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-10-24,1,1,0
59,Valentina,24.0,F,Bogotá,faltan médicos en el centro de salud.,Seguridad,No urgente,2024-11-13,1,1,0
60,Sofía,31.0,Otro,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,2023-04-22,1,1,1
61,Pedro,42.0,Otro,Medellín,necesitamos más acceso a internet en la zona.,Salud,No urgente,2023-10-24,0,1,0
62,Valentina,23.0,M,Cartagena,las basuras no se recogen a tiempo.,Salud,No urgente,2024-08-28,1,0,0
63,Laura,23.0,,Pereira,queremos más presencia policial.,Seguridad,Urgente,2023-05-23,1,0,1
64,Jorge,70.0,M,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2023-04-22,0,1,0
65,Ana,30.0,M,Bogotá,queremos más presencia policial.,Seguridad,No urgente,2024-11-15,0,0,1
66,Sofía,38.0,Otro,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2023-06-19,1,1,0
67,Sofía,69.0,M,Manizales,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2024-04-03,0,0,1
68,Valentina,,M,Medellín,no hay suficientes escuelas públicas.,Educación,Urgente,2023-07-26,1,1,0
69,Camilo,27.0,F,Cali,las basuras no se recogen a tiempo.,Seguridad,Urgente,2023-01-03,0,0,1
70,María,66.0,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-02-22,1,0,1
71,Jorge,22.0,Otro,Barranquilla,,Salud,Urgente,2024-02-15,1,1,0
72,Sofía,19.0,F,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-09-23,0,0,0
73,Sofía,32.0,Otro,Cali,la contaminación del río está aumentando.,Salud,Urgente,2024-10-07,0,0,1
74,Juan,38.0,F,Cartagena,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-11-25,1,1,1
75,Valentina,28.0,F,Cartagena,hay problemas con la recolección de basura.,Educación,No urgente,2024-04-14,1,1,1
76,Valentina,24.0,Otro,Cúcuta,la contaminación del río está aumentando.,Seguridad,Urgente,2024-05-23,1,1,0
77,Valentina,22.0,,Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-01-25,0,1,1
78,Sofía,,M,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2023-11-05,0,0,0
79,Laura,30.0,F,Cali,necesitamos más acceso a internet en la zona.,Educación,Urgente,2023-03-15,1,0,1
80,Valentina,25.0,Otro,Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2024-07-12,1,0,1
81,Juan,21.0,M,Bogotá,,Medio Ambiente,Urgente,2024-08-17,0,1,1
82,Juan,19.0,F,Cali,la contaminación del río está aumentando.,Seguridad,Urgente,2023-05-29,0,0,0
83,Camilo,58.0,Otro,Manizales,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-10-09,1,0,1
84,Laura,76.0,F,Santa Marta,la contaminación del río está aumentando.,Salud,Urgente,2024-09-03,1,1,0
85,Camilo,16.0,Otro,Cali,faltan médicos en el centro de salud.,Salud,No urgente,2024-05-05,1,1,0
86,Juan,38.0,M,Bogotá,necesitamos más acceso a internet en la zona.,Educación,No urgente,2024-04-21,0,1,1
87,Sofía,75.0,M,Barranquilla,,Salud,No urgente,2023-07-28,0,1,1
88,Pedro,58.0,Otro,Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2023-06-04,1,0,1
89,Camilo,61.0,M,Cúcuta,las basuras no se recogen a tiempo.,Seguridad,Urgente,2024-07-27,0,0,0
90,Laura,60.0,F,Cali,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2023-10-24,0,1,1
91,Jorge,66.0,F,Manizales,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-10-30,0,1,1
92,Juan,,M,Bogotá,faltan médicos en el centro de salud.,Seguridad,Urgente,2023-07-12,0,0,1
93,Sofía,25.0,M,Medellín,faltan médicos en el centro de salud.,Seguridad,No urgente,2024-02-25,0,1,0
94,Carlos,,F,Medellín,queremos más presencia policial.,Seguridad,No urgente,2024-11-09,1,1,1
95,Jorge,20.0,Otro,Cali,la contaminación del río está aumentando.,Educación,No urgente,2023-07-24,0,1,0
96,Juan,31.0,M,Cartagena,queremos más presencia policial.,Seguridad,Urgente,2024-07-10,1,0,0
97,Valentina,72.0,F,Medellín,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-08-25,1,0,0
98,Carlos,66.0,Otro,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-01-23,0,1,0
99,Jorge,67.0,Otro,Medellín,faltan médicos en el centro de salud.,Salud,No urgente,2024-01-17,1,0,1
100,Sofía,,F,Cartagena,queremos más presencia policial.,Salud,Urgente,2024-08-17,0,0,1
101,Valentina,36.0,Otro,Cartagena,faltan médicos en el centro de salud.,Seguridad,Urgente,2024-09-25,0,0,0
102,María,51.0,M,Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2024-03-03,1,0,1
103,Jorge,27.0,F,Manizales,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-05-23,0,1,0
104,Jorge,44.0,Otro,Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2023-02-23,1,0,0
105,Sofía,50.0,F,Cúcuta,la contaminación del río está aumentando.,Educación,No urgente,2024-03-16,1,0,0
106,Ana,19.0,F,Medellín,faltan médicos en el centro de salud.,Salud,Urgente,2023-09-07,1,1,1
107,Carlos,,F,Pereira,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-03-17,1,0,1
108,Jorge,54.0,F,Medellín,faltan médicos en el centro de salud.,Educación,No urgente,2024-07-16,1,1,0
109,Valentina,44.0,,Cúcuta,faltan médicos en el centro de salud.,Educación,No urgente,2024-08-01,0,0,1
110,Juan,27.0,M,Cúcuta,faltan médicos en el centro de salud.,Salud,Urgente,2023-01-12,1,0,0
111,Juan,74.0,Otro,Pereira,las basuras no se recogen a tiempo.,Seguridad,Urgente,2023-12-03,1,0,0
112,Juan,65.0,Otro,Pereira,hay problemas con la recolección de basura.,Salud,Urgente,2023-04-08,1,0,1
113,Valentina,32.0,F,Barranquilla,,Educación,No urgente,2023-01-02,0,0,1
114,Carlos,19.0,Otro,Medellín,queremos más presencia policial.,Seguridad,Urgente,2023-04-05,0,1,1
115,Camilo,25.0,Otro,Bogotá,hay problemas con la recolección de basura.,Salud,Urgente,2024-04-01,1,1,1
116,Jorge,36.0,Otro,Bogotá,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2024-02-15,0,1,0
117,Laura,55.0,F,Cali,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-09-09,0,1,1
118,Jorge,62.0,F,Cartagena,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-04-01,0,1,1
119,María,43.0,F,Bucaramanga,las basuras no se recogen a tiempo.,Educación,No urgente,2023-01-29,1,0,1
120,Pedro,54.0,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-09-21,1,1,0
121,Carlos,,F,Cali,faltan médicos en el centro de salud.,Seguridad,Urgente,2024-03-10,1,0,0
122,María,65.0,M,Cartagena,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2023-07-18,0,0,1
123,Sofía,66.0,,Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2024-07-02,1,1,1
124,Ana,31.0,Otro,Barranquilla,queremos más presencia policial.,Seguridad,No urgente,2024-06-10,1,1,0
125,Pedro,47.0,M,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-09-09,1,0,0
126,Juan,61.0,Otro,Pereira,hay problemas con la recolección de basura.,Educación,No urgente,2023-06-04,1,0,0
127,Camilo,32.0,Otro,Bucaramanga,la contaminación del río está aumentando.,Seguridad,Urgente,2023-06-20,1,0,0
128,Laura,46.0,M,Pereira,las basuras no se recogen a tiempo.,Educación,Urgente,2024-04-22,0,1,1
129,Valentina,66.0,Otro,Pereira,necesitamos más acceso a internet en la zona.,Educación,No urgente,2023-08-09,1,0,1
130,Valentina,17.0,M,Bogotá,,Seguridad,Urgente,2024-05-02,0,0,0
131,Juan,30.0,F,Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-07-15,1,0,0
132,Valentina,65.0,Otro,Bucaramanga,las basuras no se recogen a tiempo.,Salud,Urgente,2024-01-21,1,0,0
133,Carlos,15.0,Otro,Bucaramanga,faltan médicos en el centro de salud.,Seguridad,Urgente,2023-10-06,1,0,1
134,Camilo,71.0,F,Pereira,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-12-24,0,0,0
135,Carlos,27.0,,Bogotá,las basuras no se recogen a tiempo.,Educación,Urgente,2023-03-09,1,0,0
136,Jorge,36.0,M,Bogotá,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-01-08,0,1,0
137,Sofía,18.0,Otro,Cartagena,la contaminación del río está aumentando.,Salud,Urgente,2024-04-16,0,1,0
138,Carlos,28.0,M,Cúcuta,no tenemos centros culturales ni bibliotecas.,Salud,Urgente,2023-08-03,1,0,1
139,Carlos,55.0,M,Medellín,las basuras no se recogen a tiempo.,Salud,No urgente,2024-05-28,1,1,1
140,Pedro,57.0,Otro,Pereira,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-11-05,1,0,1
141,Juan,73.0,Otro,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-03-17,1,0,0
142,Jorge,27.0,M,Cúcuta,las basuras no se recogen a tiempo.,Educación,No urgente,2023-09-21,1,1,0
143,Valentina,60.0,M,Manizales,no hay suficientes escuelas públicas.,Educación,Urgente,2024-04-10,0,1,0
144,Laura,71.0,F,Medellín,falta agua potable en varias casas.,Seguridad,No urgente,2023-11-27,1,0,1
145,Valentina,,Otro,Pereira,la contaminación del río está aumentando.,Salud,Urgente,2024-08-11,0,1,0
146,Jorge,35.0,M,Santa Marta,queremos más presencia policial.,Medio Ambiente,No urgente,2024-02-04,0,0,0
147,Valentina,43.0,F,Barranquilla,no hay suficientes escuelas públicas.,Salud,No urgente,2024-07-25,1,1,1
148,Ana,16.0,Otro,Cartagena,la contaminación del río está aumentando.,Salud,No urgente,2024-06-20,1,1,1
149,Ana,51.0,F,Cúcuta,falta agua potable en varias casas.,Medio Ambiente,No urgente,2023-02-15,1,1,0
150,María,55.0,F,Cúcuta,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-12-02,1,1,0
151,Pedro,60.0,M,Santa Marta,la contaminación del río está aumentando.,Seguridad,Urgente,2023-06-12,0,1,1
152,Sofía,52.0,M,Manizales,falta agua potable en varias casas.,Salud,No urgente,2023-06-26,1,1,0
153,Laura,,M,Bogotá,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2024-02-14,1,1,0
154,María,79.0,M,Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-02-03,0,1,0
155,Sofía,40.0,M,Cúcuta,falta agua potable en varias casas.,Medio Ambiente,No urgente,2024-06-18,1,0,1
156,Ana,64.0,F,Cali,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-04-11,0,0,1
157,Camilo,37.0,Otro,Cartagena,falta agua potable en varias casas.,Educación,No urgente,2023-02-08,0,1,0
158,Juan,40.0,F,Bogotá,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2023-12-08,0,1,0
159,Laura,47.0,F,Santa Marta,falta agua potable en varias casas.,Seguridad,No urgente,2024-11-09,0,0,1
160,Carlos,18.0,F,Barranquilla,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-04-19,0,0,1
161,Laura,49.0,Otro,Cali,la contaminación del río está aumentando.,Educación,No urgente,2023-07-09,0,0,0
162,Carlos,66.0,M,Manizales,,Seguridad,Urgente,2024-02-14,0,0,0
163,Juan,79.0,F,Bucaramanga,hay problemas con la recolección de basura.,Salud,No urgente,2023-09-14,1,0,0
164,Juan,21.0,Otro,Pereira,las basuras no se recogen a tiempo.,Salud,Urgente,2024-01-18,1,0,0
165,Sofía,39.0,F,Bogotá,faltan médicos en el centro de salud.,Seguridad,No urgente,2024-02-05,0,0,0
166,Camilo,79.0,,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-01-24,1,0,0
167,Jorge,46.0,,Barranquilla,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2023-06-03,0,0,1
168,Valentina,41.0,Otro,Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2023-05-25,0,1,1
169,María,25.0,Otro,Cali,faltan médicos en el centro de salud.,Educación,No urgente,2023-12-08,0,1,0
170,Ana,21.0,Otro,Pereira,las basuras no se recogen a tiempo.,Salud,No urgente,2024-05-04,0,1,1
171,Carlos,18.0,F,Bucaramanga,las basuras no se recogen a tiempo.,Seguridad,Urgente,2023-05-11,0,0,1
172,Carlos,16.0,Otro,Bogotá,no hay suficientes escuelas públicas.,Seguridad,No urgente,2024-08-02,0,1,0
173,Ana,78.0,Otro,Barranquilla,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2024-11-19,1,1,1
174,Jorge,70.0,F,Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2023-04-23,0,0,0
175,Laura,17.0,Otro,Cúcuta,queremos más presencia policial.,Educación,No urgente,2023-04-09,1,0,0
176,Ana,54.0,M,Manizales,falta agua potable en varias casas.,Salud,Urgente,2024-07-15,1,0,0
177,Laura,,Otro,Santa Marta,las basuras no se recogen a tiempo.,Seguridad,Urgente,2023-06-07,0,0,0
178,Camilo,45.0,M,Cali,queremos más presencia policial.,Salud,Urgente,2023-03-17,1,1,0
179,Carlos,72.0,F,Bucaramanga,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-09-13,0,1,0
180,Carlos,58.0,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,2023-10-03,0,1,1
181,Laura,30.0,F,Santa Marta,,Medio Ambiente,No urgente,2024-04-28,0,1,1
182,Carlos,42.0,Otro,Bogotá,la contaminación del río está aumentando.,Educación,Urgente,2024-09-29,1,0,1
183,Valentina,78.0,F,Medellín,la contaminación del río está aumentando.,Seguridad,No urgente,2024-02-12,0,0,1
184,Juan,39.0,F,Cali,las basuras no se recogen a tiempo.,Salud,Urgente,2024-03-05,1,1,0
185,Camilo,33.0,M,Cartagena,las basuras no se recogen a tiempo.,Educación,No urgente,2024-11-13,0,1,0
186,Juan,43.0,M,Cartagena,necesitamos más acceso a internet en la zona.,Educación,No urgente,2023-05-25,0,0,0
187,Pedro,,Otro,Cartagena,queremos más presencia policial.,Medio Ambiente,No urgente,2024-07-10,1,0,1
188,Jorge,76.0,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-11-26,1,0,0
189,Jorge,74.0,F,Barranquilla,faltan médicos en el centro de salud.,Educación,No urgente,2024-11-06,1,0,1
190,Sofía,80.0,F,Medellín,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,2024-07-27,0,1,0
191,María,17.0,M,Cali,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-03-08,0,0,1
192,Laura,15.0,M,Cúcuta,faltan médicos en el centro de salud.,Educación,No urgente,2024-05-31,1,0,0
193,Camilo,61.0,F,Cartagena,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-05-18,0,1,0
194,Valentina,63.0,F,Cúcuta,falta agua potable en varias casas.,Educación,No urgente,2023-06-14,1,0,0
195,Pedro,34.0,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2023-05-29,0,0,1
196,Pedro,19.0,Otro,Manizales,hay problemas con la recolección de basura.,Educación,No urgente,2023-10-30,1,1,0
197,Valentina,52.0,F,Cali,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-06-10,1,1,0
198,María,40.0,F,Pereira,las basuras no se recogen a tiempo.,Educación,Urgente,2023-11-24,0,1,1
199,María,73.0,Otro,Barranquilla,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-08-03,0,0,1
200,Carlos,,M,Medellín,la contaminación del río está aumentando.,Educación,Urgente,2024-01-19,0,0,0
201,Ana,,F,Santa Marta,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2023-09-16,0,1,0
202,Jorge,60.0,Otro,Cartagena,faltan médicos en el centro de salud.,Salud,Urgente,2024-06-30,1,1,1
203,Ana,78.0,Otro,Cali,no hay suficientes escuelas públicas.,Seguridad,No urgente,2023-01-11,1,0,1
204,Pedro,27.0,M,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-08-20,1,0,1
205,Juan,77.0,M,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2024-05-11,1,1,0
206,Pedro,27.0,F,Bucaramanga,,Medio Ambiente,No urgente,2023-04-07,0,0,0
207,Sofía,65.0,M,Cali,queremos más presencia policial.,Educación,Urgente,2024-11-30,1,0,1
208,Camilo,,F,Santa Marta,la contaminación del río está aumentando.,Seguridad,No urgente,2023-06-19,0,1,1
209,Pedro,15.0,M,Bogotá,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2023-11-06,1,0,0
210,Pedro,39.0,F,Cali,,Educación,No urgente,2024-04-12,0,0,1
211,Ana,17.0,F,Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2023-03-12,0,0,1
212,Carlos,64.0,Otro,Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-06-06,1,1,1
213,Ana,18.0,F,Bogotá,falta agua potable en varias casas.,Educación,Urgente,2023-12-24,1,0,0
214,Jorge,60.0,M,Santa Marta,la contaminación del río está aumentando.,Seguridad,No urgente,2024-02-18,1,0,0
215,María,28.0,F,Medellín,no hay suficientes escuelas públicas.,Salud,No urgente,2023-07-25,1,0,0
216,Camilo,30.0,M,Bogotá,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,2023-10-10,0,0,0
217,Laura,16.0,M,Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-01-24,0,1,0
218,Camilo,75.0,Otro,Cúcuta,falta agua potable en varias casas.,Seguridad,No urgente,2023-01-25,0,0,1
219,María,22.0,F,Cartagena,las calles están muy oscuras y peligrosas.,Salud,No urgente,2023-08-13,0,0,1
220,Carlos,36.0,Otro,Cartagena,queremos más presencia policial.,Seguridad,Urgente,2024-06-03,1,0,1
221,Juan,49.0,Otro,Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-05-16,1,1,1
222,Valentina,43.0,M,Manizales,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-10-29,1,1,0
223,Camilo,51.0,Otro,Bogotá,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-07-02,1,0,0
224,María,21.0,M,Cali,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,2023-03-29,0,1,0
225,Ana,72.0,F,Pereira,falta agua potable en varias casas.,Seguridad,Urgente,2023-09-25,1,0,1
226,María,,Otro,Pereira,queremos más presencia policial.,Educación,Urgente,2024-08-03,1,0,1
227,Jorge,34.0,Otro,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Salud,Urgente,2024-02-06,0,0,0
228,Sofía,49.0,F,Barranquilla,queremos más presencia policial.,Seguridad,Urgente,2023-09-26,0,1,0
229,Camilo,52.0,F,Medellín,,Medio Ambiente,Urgente,2024-11-17,0,1,1
230,Laura,19.0,M,Cartagena,queremos más presencia policial.,Educación,No urgente,2024-01-06,0,0,0
231,Camilo,56.0,M,Bogotá,faltan médicos en el centro de salud.,Educación,No urgente,2024-02-21,1,1,0
232,Valentina,17.0,Otro,Manizales,,Seguridad,No urgente,2024-11-04,0,1,1
233,Valentina,61.0,Otro,Cúcuta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-08-04,1,0,0
234,Jorge,65.0,F,Pereira,queremos más presencia policial.,Educación,No urgente,2024-04-26,0,0,0
235,Sofía,71.0,Otro,Bucaramanga,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2023-08-17,1,0,1
236,Ana,35.0,M,Bogotá,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-02-15,0,0,1
237,Juan,34.0,F,Cartagena,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2023-10-23,1,0,0
238,Valentina,78.0,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,2023-11-17,1,1,1
239,Sofía,16.0,Otro,Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-09-13,1,1,0
240,Sofía,,F,Barranquilla,falta agua potable en varias casas.,Salud,Urgente,2023-04-09,1,1,1
